word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
fort,77,77,6.025974025974026,NA,41,5,4,Swedish,387670,fort,fast,1,fort,77,4,77,6.025974025974026,0,41,5
kallades,1,1,9,NA,NA,NA,8,Swedish,387670,kall,cold,6,"kallades, kalle, kall, kallas, kallade, kalla",98,5.833333333333333,98,8.484834834834835,2,13,14
hemma,178,178,8.50561797752809,1,65,6,5,Swedish,387670,hemm,home,1,hemma,178,5,178,8.50561797752809,1,65,6
lampor,2,2,13,NA,NA,NA,6,Swedish,387670,lamp,lamp,3,"lampa, lampor, lamper",39,5.666666666666667,39,8.5,4,13,0
slutat,3,3,6,NA,1,NA,6,Swedish,387670,slut,stop,5,"slut, slutat, stanna, sluta, stannar",251,5.6,251,7.1495670995671,5,140,12
bil,407,407,6.378378378378378,7,248,3,3,Swedish,387670,bil,car,4,"bil, bilen, bilar, bilarna",480,5,480,7.8202719344960725,9,279,4
giraff,16,16,4.6875,2,9,1,6,Swedish,387670,giraff,giraffe,2,"giraffen, giraff",21,7,21,4.84375,2,14,1
elefant,49,49,5.428571428571429,5,25,6,7,Swedish,387670,elefant,elephant,2,"elefanten, elefant",69,8,69,5.264285714285714,8,32,9
öppna,140,140,7.457142857142857,NA,12,11,5,Swedish,387670,öppn,open (action),2,"öppna, öppnar",147,5.5,147,8.085714285714285,0,13,11
gris,58,58,6.155172413793103,4,24,2,4,Swedish,387670,gris,pig,6,"grisen, gris, grisar, grisarna, grisens, grisig",142,6.166666666666667,142,6.86871921182266,6,62,6
sova,107,107,6.91588785046729,NA,36,1,4,Swedish,387670,sov,asleep,3,"sova, sov, sover",139,4,139,6.444184839044652,0,49,8
sova,107,107,6.91588785046729,NA,36,1,4,Swedish,387670,sov,sleep,3,"sova, sov, sover",139,4,139,6.444184839044652,0,49,8
hund,133,133,6.030075187969925,2,82,NA,4,Swedish,387670,hund,dog,2,"hund, hunden",162,5,162,6.670210007778066,3,90,4
tvätta,96,96,7.677083333333333,NA,7,4,6,Swedish,387670,tvätt,wash,7,"tvätta, tvättar, tvättat, tvättade, tvätten, tvätt, tvättas",109,6.714285714285714,109,7.072916666666667,0,9,4
