language,uni_lemma,item_definition,phons,fixed_phon
Hebrew,2SG,אתה,,"a_t_a, ʔ_a_t_a"
Hebrew,2SG,אתה/ את,,"a_t_a, ʔ_a_t_a, a_t, ʔ_a_t"
Hebrew,2SG.POSS,שלך,,"S_e_l_a_X, S_e_l_X_a, S_e_l_a_X, S_e_l_X_a"
Hebrew,3PL,הם,,h_e_m
Hebrew,3SG,הוא,,"h_u, h_u_ʔ"
Hebrew,3SG,הוא/ היא,,"h_u, h_u_ʔ_, h_i, h_i_ʔ"
Hebrew,a little,מעט,,"m_e_a_t, m_e_ʔ_a_t"
Hebrew,a lot,המון,,h_a_m_o_n
Hebrew,above,מעל,,"m_e_a_l, m_e_ʔ_a_l"
Hebrew,after,אח'כ,,"a_X_k_a, ʔ_a_X_k_a"
Hebrew,after,אחרי,,"a_X_a_Q""_e_j, a_X_Q""_e_j, ʔ_a_X_a_Q""_e_j, ʔ_a_X_Q""_e_j"
Hebrew,airplane,מטוס,,m_a_t_o_s
Hebrew,airplane,מטוס/ אווירון,,"m_a_t_o_s, a_v_i_Q""_o_n, ʔ_a_w_i_Q""_o_n"
Hebrew,all,הכל,,"h_a_k_o_l, k_o_l"
Hebrew,all gone,אין,,"e_n, ʔ_e_j_n"
Hebrew,alligator,תנין,,t_a_n_i_n
Hebrew,also,גם,,g_a_m
Hebrew,ambulance,אמבולנס,,"a_m_b_u_l_a_n_s, ʔ_a_m_b_u_l_a_n_s"
Hebrew,angry,כועס,,"k_o_e_s, k_o_ʔ_e_s"
Hebrew,animal,חיה,,X_a_j_a
Hebrew,ant,נמלה,,n_e_m_a_l_a
Hebrew,apple,תפוח,,t_a_p_u_a_X
Hebrew,apron,סינר,,"s_i_n_a_Q"""
Hebrew,armchair,כורסה,,"k_u_Q""_s_a"
Hebrew,baa baa,מה מה,,m_a_ m_a
Hebrew,baby,תינוק,,"t_i_n_o_k, t_i_n_o_k"
Hebrew,baby,תינוק/ תינוקת,,"t_i_n_o_k, t_i_n_o_k, t_i_n_o_k_e_t, t_i_n_o_k_e_t"
Hebrew,babysitter,מטפלת,,m_e_t_a_p_e_l_e_t
Hebrew,babysitter,שמרטף/ בייביסיטר,,"S_m_a_Q""_t_a_f, S_m_a_Q""_t_a_f, b_e_i_b_i_s_i_t_e_Q"""
Hebrew,bad,רע,,"Q""_a, Q""_a_ʔ"
Hebrew,bag,תיק,,"t_i_k, t_i_k"
Hebrew,ball,כדור,,"k_a_d_u_Q"""
Hebrew,balloon,בלון,,b_a_l_o_n
Hebrew,banana,בננה,,b_a_n_a_n_a
Hebrew,basket,סל,,s_a_l
Hebrew,bathe,לעשות אמבטיה,,"l_a_a_s_o_t_ a_m_b_a_t_j_a, l_a_ʔ_a_s_o_t_ ʔ_a_m_b_a_t_j_a"
Hebrew,bathroom,שירותים,,"S_e_Q""_u_t_i_m, S_e_Q""_u_t_i_m"
