"","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount"
"216","sentire",18,0.000209721769119635,8.27777777777778,NA,1,NA,7,"Italian",85828
"217","anch'",21,0.00024467539730624,8.57142857142857,NA,NA,1,5,"Italian",85828
"218","io",308,0.00358857249382486,8.1038961038961,2,74,65,2,"Italian",85828
"219","senti",155,0.00180593745630796,8.0258064516129,11,2,123,5,"Italian",85828
"220","bimba",25,0.000291280234888381,6.04,1,9,NA,5,"Italian",85828
"221","bagnata",1,1.16512093955353e-05,13,NA,NA,NA,7,"Italian",85828
"222","piedini",8,9.3209675164282e-05,8,NA,4,NA,7,"Italian",85828
"223","ahh",5,5.82560469776763e-05,4.4,2,NA,3,3,"Italian",85828
"224","lasciati",1,1.16512093955353e-05,8,NA,NA,NA,8,"Italian",85828
"225","stivaletti",1,1.16512093955353e-05,8,NA,1,NA,10,"Italian",85828
"226","pozzanghera",1,1.16512093955353e-05,10,NA,NA,NA,11,"Italian",85828
"227","queste",113,0.00131658666169548,6.90265486725664,1,19,26,6,"Italian",85828
"228","attrezzature",1,1.16512093955353e-05,10,NA,NA,NA,12,"Italian",85828
"229","del",189,0.00220207857575616,8.34391534391534,NA,4,11,3,"Italian",85828
"230","medico",1,1.16512093955353e-05,10,NA,NA,NA,6,"Italian",85828
"231","termometro",1,1.16512093955353e-05,4,NA,1,NA,10,"Italian",85828
"232","cerotti",1,1.16512093955353e-05,2,NA,1,NA,7,"Italian",85828
"233","stanno",49,0.000570909260381228,8.40816326530612,NA,1,8,6,"Italian",85828
"234","curando",1,1.16512093955353e-05,6,NA,NA,NA,7,"Italian",85828
"235","mettono",15,0.000174768140933029,12,NA,1,NA,7,"Italian",85828
"236","tutte",80,0.000932096751642821,8.3125,1,8,13,5,"Italian",85828
"237","bende",3,3.49536281866058e-05,8,NA,2,NA,5,"Italian",85828
"238","tenerlo",5,5.82560469776763e-05,7,NA,1,NA,7,"Italian",85828
"239","bisogno",5,5.82560469776763e-05,12.8,NA,NA,NA,7,"Italian",85828
"240","fascia",3,3.49536281866058e-05,5,NA,2,NA,6,"Italian",85828
"241","al",185,0.00215547373817402,7.88648648648649,NA,3,19,2,"Italian",85828
"242","collo",16,0.000186419350328564,8.75,NA,4,NA,5,"Italian",85828
"243","paura",36,0.000419443538239269,7.80555555555556,NA,16,2,5,"Italian",85828
"244","rimasto",18,0.000209721769119635,10.0555555555556,NA,1,NA,7,"Italian",85828
"245","aveva",28,0.000326233863074987,7.82142857142857,NA,1,1,5,"Italian",85828
"246","ah",446,0.00519643939040872,5.52690582959641,19,10,408,2,"Italian",85828
"247","lasciato",9,0.000104860884559817,8.66666666666667,NA,NA,NA,8,"Italian",85828
"248","voleva",4,4.6604837582141e-05,5.25,NA,NA,1,6,"Italian",85828
"249","bagnare",1,1.16512093955353e-05,3,NA,1,NA,7,"Italian",85828
"250","mica",17,0.000198070559724099,7.47058823529412,NA,NA,NA,4,"Italian",85828
"251","stivali",15,0.000174768140933029,8.6,NA,8,NA,7,"Italian",85828
"252","chiama",144,0.00167777415295708,6.40972222222222,NA,58,1,6,"Italian",85828
"253","melania",9,0.000104860884559817,6.55555555555556,1,5,1,7,"Italian",85828
"254","quella",278,0.0032390362119588,7.66546762589928,NA,28,53,6,"Italian",85828
"255","bimbina",5,5.82560469776763e-05,6,NA,3,NA,7,"Italian",85828
"256","seduta",4,4.6604837582141e-05,7.25,1,NA,NA,6,"Italian",85828
"257","seggiolina",6,6.99072563732115e-05,7.16666666666667,1,4,NA,10,"Italian",85828
"258","bianca",28,0.000326233863074987,5.89285714285714,3,15,2,6,"Italian",85828
"259","fasciando",1,1.16512093955353e-05,13,NA,NA,NA,9,"Italian",85828
"260","raffreddore",9,0.000104860884559817,7.77777777777778,NA,8,NA,11,"Italian",85828
"261","tagliare",7,8.15584657687468e-05,5.57142857142857,NA,4,NA,8,"Italian",85828
"262","usa",5,5.82560469776763e-05,6.8,NA,NA,NA,3,"Italian",85828
"263","corre",13,0.000151465722141958,6.38461538461539,NA,6,NA,5,"Italian",85828
"264","fiori",5,5.82560469776763e-05,8.6,NA,3,NA,5,"Italian",85828
"265","bagnano",1,1.16512093955353e-05,13,NA,NA,NA,7,"Italian",85828
"266","però",106,0.00123502819592674,9.78301886792453,1,14,26,4,"Italian",85828
"267","ai",23,0.000267977816097311,8.65217391304348,NA,NA,2,2,"Italian",85828
"268","bisogna",78,0.00090879433285175,7.43589743589744,NA,1,35,7,"Italian",85828
"269","innaffiarli",1,1.16512093955353e-05,4,NA,1,NA,11,"Italian",85828
"270","porti",9,0.000104860884559817,6.66666666666667,NA,2,1,5,"Italian",85828
"271","portiamo",4,4.6604837582141e-05,6.5,NA,NA,2,8,"Italian",85828
"272","bimbo",63,0.000734026191918721,7.31746031746032,1,22,1,5,"Italian",85828
"273","biondo",3,3.49536281866058e-05,5.33333333333333,NA,2,NA,6,"Italian",85828
"274","proprio",104,0.00121172577713567,7.39423076923077,NA,7,4,7,"Italian",85828
"275","va",313,0.00364682854080254,5.88498402555911,NA,12,130,2,"Italian",85828
"276","pesca",4,4.6604837582141e-05,10.75,NA,3,NA,5,"Italian",85828
"277","questa",423,0.00492846157431141,6.83215130023641,8,64,111,6,"Italian",85828
"278","canna",2,2.33024187910705e-05,15.5,NA,NA,NA,5,"Italian",85828
"279","da",248,0.00288949993009274,8.43951612903226,4,1,26,2,"Italian",85828
"280","già",76,0.00088549191406068,8.5,NA,2,5,3,"Italian",85828
"281","pesciolino",10,0.000116512093955353,4.8,1,7,NA,10,"Italian",85828
"282","nel",140,0.00163116931537494,8.55714285714286,2,2,18,3,"Italian",85828
"283","fiume",4,4.6604837582141e-05,5.75,NA,2,NA,5,"Italian",85828
"284","o",192,0.00223703220394277,7.97916666666667,NA,4,41,1,"Italian",85828
"285","lago",3,3.49536281866058e-05,5.66666666666667,NA,1,NA,4,"Italian",85828
"286","pescare",2,2.33024187910705e-05,8,NA,1,NA,7,"Italian",85828
"287","penso",16,0.000186419350328564,6.125,NA,4,2,5,"Italian",85828
"288","andrà",10,0.000116512093955353,5.9,NA,NA,NA,5,"Italian",85828
"289","spegnamo",4,4.6604837582141e-05,6.5,NA,2,1,8,"Italian",85828
"290","luce",33,0.000384489910052663,6.60606060606061,NA,17,NA,4,"Italian",85828
"291","qua",829,0.00965885258889873,7.4897466827503,11,216,108,3,"Italian",85828
"292","sua",30,0.000349536281866058,10.6666666666667,NA,1,1,3,"Italian",85828
"293","avanti",28,0.000326233863074987,6.57142857142857,NA,13,2,6,"Italian",85828
"294","mi",324,0.00377499184415342,8.00617283950617,NA,NA,89,2,"Italian",85828
"295","sa",52,0.000605862888567833,9.55769230769231,NA,5,1,2,"Italian",85828
"296","spenta",4,4.6604837582141e-05,11,NA,1,NA,6,"Italian",85828
"297","stanchetta",1,1.16512093955353e-05,3,NA,1,NA,10,"Italian",85828
"298","vammi",1,1.16512093955353e-05,6,NA,NA,1,5,"Italian",85828
"299","palla",158,0.00184089108449457,7,6,55,NA,5,"Italian",85828
"300","là",150,0.00174768140933029,7.18,3,31,19,2,"Italian",85828
"301","terra",53,0.000617514097963369,7.62264150943396,NA,31,NA,5,"Italian",85828
"302","tirala",2,2.33024187910705e-05,6.5,NA,NA,NA,6,"Italian",85828
"303","piano",44,0.000512653213403551,7,4,17,5,5,"Italian",85828
"304","riesco",22,0.000256326606701776,7.45454545454545,NA,7,NA,6,"Italian",85828
"305","prenderla",12,0.000139814512746423,7.16666666666667,NA,8,NA,9,"Italian",85828
"306","mamma",476,0.00554597567227478,8.03991596638656,3,148,43,5,"Italian",85828
"307","stanca",4,4.6604837582141e-05,7.5,NA,1,NA,6,"Italian",85828
"308","giochiamo",11,0.000128163303350888,4.27272727272727,1,3,3,9,"Italian",85828
"309","vendi",1,1.16512093955353e-05,5,NA,1,NA,5,"Italian",85828
"310","sicuro",26,0.000302931444283917,4.61538461538461,1,16,4,6,"Italian",85828
"311","acceso",6,6.99072563732115e-05,7.16666666666667,NA,2,NA,6,"Italian",85828
"312","sei",268,0.00312252411800345,6.35820895522388,3,16,72,3,"Italian",85828
"313","venuta",8,9.3209675164282e-05,7.75,NA,2,NA,6,"Italian",85828
"314","devi",60,0.000699072563732115,7.63333333333333,NA,1,17,4,"Italian",85828
"315","cantare",5,5.82560469776763e-05,6,NA,3,NA,7,"Italian",85828
"316","giochi",22,0.000256326606701776,8.22727272727273,NA,8,2,6,"Italian",85828
"317","manuela",4,4.6604837582141e-05,7.25,NA,3,NA,7,"Italian",85828
"318","brava",8,9.3209675164282e-05,6.125,NA,2,1,5,"Italian",85828
"319","cuci",2,2.33024187910705e-05,4,NA,1,1,4,"Italian",85828
"320","rotte",2,2.33024187910705e-05,6.5,NA,2,NA,5,"Italian",85828
"321","mettiamo",126,0.00146805238383744,6.96825396825397,NA,9,16,8,"Italian",85828
"322","ago",4,4.6604837582141e-05,8.25,NA,2,NA,3,"Italian",85828
"323","finiamo",5,5.82560469776763e-05,7.2,NA,NA,NA,7,"Italian",85828
"324","laviamo",3,3.49536281866058e-05,3.33333333333333,NA,1,1,7,"Italian",85828
"325","filo",6,6.99072563732115e-05,9.33333333333333,NA,1,NA,4,"Italian",85828
"326","tazze",1,1.16512093955353e-05,3,NA,1,NA,5,"Italian",85828
"327","lavo",1,1.16512093955353e-05,6,NA,NA,NA,4,"Italian",85828
