"","X1","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount","stem","uni_lemma","nb_realisations_lemma","words_lemma","sum_wordcount_lemma","mean_character_count_lemma","sum_freq","mean_mlu_lemma","sum_solo_lemma","sum_last_lemma","sum_first_lemma"
"68",131,"prendiamo",2,0.000499001996007984,7,NA,NA,NA,9,"Italian",4008,"prend","take",8,"prendi, prendiamo, prendere, prende, prenderla, prendeva, prendo, prenderlo",16,7.625,0.00399201596806387,7.47916666666667,0,3,2
"69",132,"andiamo",14,0.00349301397205589,7,NA,NA,3,7,"Italian",4008,"andiam","go",4,"andiamo, andato, andare, andava",22,6.25,0.00548902195608783,7.10416666666667,0,1,4
"70",133,"prendere",6,0.00149700598802395,7.83333333333333,NA,1,NA,8,"Italian",4008,"prend","take",8,"prendi, prendiamo, prendere, prende, prenderla, prendeva, prendo, prenderlo",16,7.625,0.00399201596806387,7.47916666666667,0,3,2
"71",134,"una",24,0.00598802395209581,6.58333333333333,NA,NA,4,3,"Italian",4008,"una","a",3,"un, una, uno",104,2.66666666666667,0.0259481037924152,6.41666666666667,1,1,17
"72",135,"altra",4,0.000998003992015968,9.25,NA,NA,NA,5,"Italian",4008,"altra","other",2,"altra, altri",5,5,0.00124750499001996,7.625,0,0,0
"73",137,"cioccolata",5,0.00124750499001996,5.8,NA,5,NA,10,"Italian",4008,"cioccol","chocolate",1,"cioccolata",5,10,0.00124750499001996,5.8,0,5,0
"74",141,"basta",1,0.000249500998003992,2,NA,1,NA,5,"Italian",4008,"bast","cut it out",1,"basta",1,5,0.000249500998003992,2,0,1,0
"75",145,"biscotti",1,0.000249500998003992,9,NA,NA,NA,8,"Italian",4008,"biscott","cookie",1,"biscotti",1,8,0.000249500998003992,9,0,0,0
"76",147,"nonna",5,0.00124750499001996,7.8,NA,2,NA,5,"Italian",4008,"nonn","grandma",1,"nonna",5,5,0.00124750499001996,7.8,0,2,0
"77",147,"nonna",5,0.00124750499001996,7.8,NA,2,NA,5,"Italian",4008,"nonn","grandpa",1,"nonna",5,5,0.00124750499001996,7.8,0,2,0
"78",150,"fino",1,0.000249500998003992,16,NA,NA,NA,4,"Italian",4008,"fin","finish",7,"finito, fino, finiamo, finita, finire, fine, finiti",10,5.57142857142857,0.00249500998003992,9.54761904761905,0,3,0
"79",150,"fino",1,0.000249500998003992,16,NA,NA,NA,4,"Italian",4008,"fin","finished",7,"finito, fino, finiamo, finita, finire, fine, finiti",10,5.57142857142857,0.00249500998003992,9.54761904761905,0,3,0
"80",151,"domani",3,0.000748502994011976,10.6666666666667,NA,1,NA,6,"Italian",4008,"doman","tomorrow",1,"domani",3,6,0.000748502994011976,10.6666666666667,0,1,0
"81",154,"mangia",8,0.00199600798403194,8.375,NA,4,NA,6,"Italian",4008,"mang","eat",8,"mangia, mangi, mangerà, mangiano, mangiato, mangiare, mangio, mangiata",20,7,0.00499001996007984,7.984375,0,5,0
"82",156,"male",1,0.000249500998003992,16,NA,1,NA,4,"Italian",4008,"mal","sick",1,"male",1,4,0.000249500998003992,16,0,1,0
"83",157,"ora",7,0.00174650698602794,9.57142857142857,NA,NA,1,3,"Italian",4008,"ora","now",2,"adesso, ora",19,4.5,0.00474051896207584,8.61904761904762,0,1,8
"84",161,"andato",3,0.000748502994011976,9.66666666666667,NA,1,NA,6,"Italian",4008,"andat","go",4,"andiamo, andato, andare, andava",22,6.25,0.00548902195608783,7.10416666666667,0,1,4
"85",168,"casa",6,0.00149700598802395,8,NA,1,NA,4,"Italian",4008,"cas","home",1,"casa",6,4,0.00149700598802395,8,0,1,0
"86",173,"vestiti",2,0.000499001996007984,9.5,NA,NA,NA,7,"Italian",4008,"vest","dress (object)",3,"vestiti, veste, vestito",5,6.33333333333333,0.00124750499001996,6.66666666666667,0,1,0
"87",175,"bagnati",2,0.000499001996007984,9.5,NA,1,NA,7,"Italian",4008,"bagn","bath",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"88",175,"bagnati",2,0.000499001996007984,9.5,NA,1,NA,7,"Italian",4008,"bagn","bathroom",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"89",175,"bagnati",2,0.000499001996007984,9.5,NA,1,NA,7,"Italian",4008,"bagn","wet (description)",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"90",185,"bimbi",5,0.00124750499001996,7.4,NA,3,NA,5,"Italian",4008,"bimb","child",6,"a, bambini, bimbi, bimba, bimbo, bambino",103,5,0.0256986027944112,8.56496697746698,0,18,3
"91",187,"tristi",1,0.000249500998003992,5,NA,NA,NA,6,"Italian",4008,"trist","sad",1,"tristi",1,6,0.000249500998003992,5,0,0,0
"92",192,"acqua",5,0.00124750499001996,12.2,NA,2,NA,5,"Italian",4008,"acqua","water (beverage)",1,"acqua",5,5,0.00124750499001996,12.2,0,2,0
"93",196,"prende",2,0.000499001996007984,7.5,NA,NA,1,6,"Italian",4008,"prend","take",8,"prendi, prendiamo, prendere, prende, prenderla, prendeva, prendo, prenderlo",16,7.625,0.00399201596806387,7.47916666666667,0,3,2
"94",200,"caldo",2,0.000499001996007984,6,NA,2,NA,5,"Italian",4008,"cald","hot",1,"caldo",2,5,0.000499001996007984,6,0,2,0
"95",202,"venuto",1,0.000249500998003992,9,NA,NA,NA,6,"Italian",4008,"ven","come",2,"venuto, venuta",2,6,0.000499001996007984,6,0,1,0
"96",203,"sole",2,0.000499001996007984,11,NA,1,NA,4,"Italian",4008,"sol","sun",2,"solo, sole",8,4,0.00199600798403193,9.66666666666666,0,2,1
"97",206,"via",9,0.00224550898203593,6.22222222222222,NA,4,NA,3,"Italian",4008,"via","go-ahead",1,"via",9,3,0.00224550898203593,6.22222222222222,0,4,0
"98",207,"giocare",5,0.00124750499001996,6.8,NA,2,NA,7,"Italian",4008,"gioc","play",7,"giocare, giochiamo, giochi, gioco, gioca, giocando, giocavano",17,7,0.00424151696606786,8.3047619047619,0,6,0
"99",210,"andare",4,0.000998003992015968,8.75,NA,NA,NA,6,"Italian",4008,"andar","go",4,"andiamo, andato, andare, andava",22,6.25,0.00548902195608783,7.10416666666667,0,1,4
"100",212,"leggi",1,0.000249500998003992,7,NA,NA,1,5,"Italian",4008,"legg","read",2,"leggi, leggere",2,6,0.000499001996007984,7.5,0,0,1
"101",213,"forte",4,0.000998003992015968,5.5,NA,2,NA,5,"Italian",4008,"fort","loud",1,"forte",4,5,0.000998003992015968,5.5,0,2,0
"102",216,"sentire",3,0.000748502994011976,7.66666666666667,NA,1,NA,7,"Italian",4008,"sent","hear",4,"sentire, senti, sento, sente",11,5.5,0.00274451097804391,8.60416666666667,0,4,0
"103",218,"io",10,0.00249500998003992,8.4,NA,1,3,2,"Italian",4008,"io","i",1,"io",10,2,0.00249500998003992,8.4,0,1,3
"104",219,"senti",4,0.000998003992015968,6.75,NA,1,NA,5,"Italian",4008,"sent","hear",4,"sentire, senti, sento, sente",11,5.5,0.00274451097804391,8.60416666666667,0,4,0
"105",220,"bimba",11,0.00274451097804391,7.45454545454545,NA,3,NA,5,"Italian",4008,"bimb","child",6,"a, bambini, bimbi, bimba, bimbo, bambino",103,5,0.0256986027944112,8.56496697746698,0,18,3
"106",221,"bagnata",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","bath",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"107",221,"bagnata",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","bathroom",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"108",221,"bagnata",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","wet (description)",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"109",227,"queste",4,0.000998003992015968,5.75,NA,1,2,6,"Italian",4008,"quest","this",5,"a, questi, questo, queste, questa",125,5,0.031187624750499,7.21347985347986,3,12,23
"110",235,"mettono",2,0.000499001996007984,7,NA,NA,NA,7,"Italian",4008,"mett","put",5,"mettono, mettiamo, mette, metterli, metti",16,6.6,0.00399201596806387,6.42,0,1,2
"111",236,"tutte",4,0.000998003992015968,8.75,NA,NA,NA,5,"Italian",4008,"tutt","all",4,"tutto, tutti, tutte, tutta",31,5,0.00773453093812375,7.92830882352941,0,4,1
"112",248,"voleva",1,0.000249500998003992,3,NA,NA,NA,6,"Italian",4008,"vol","fly (action)",1,"voleva",1,6,0.000249500998003992,3,0,0,0
"113",249,"bagnare",1,0.000249500998003992,3,NA,1,NA,7,"Italian",4008,"bagn","bath",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"114",249,"bagnare",1,0.000249500998003992,3,NA,1,NA,7,"Italian",4008,"bagn","bathroom",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"115",249,"bagnare",1,0.000249500998003992,3,NA,1,NA,7,"Italian",4008,"bagn","wet (description)",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"116",254,"quella",16,0.00399201596806387,6.9375,NA,1,1,6,"Italian",4008,"quell","that",5,"quello, a, quella, quelle, quelli",86,5,0.0214570858283433,8.20288461538462,0,5,8
"117",256,"seduta",1,0.000249500998003992,13,NA,NA,NA,6,"Italian",4008,"sed","chair",3,"seduta, seduto, sedano",4,6,0.000998003992015968,6.66666666666667,1,1,0
"118",256,"seduta",1,0.000249500998003992,13,NA,NA,NA,6,"Italian",4008,"sed","sit",3,"seduta, seduto, sedano",4,6,0.000998003992015968,6.66666666666667,1,1,0
"119",263,"corre",2,0.000499001996007984,8,NA,1,NA,5,"Italian",4008,"corr","run",1,"corre",2,5,0.000499001996007984,8,0,1,0
"120",264,"fiori",3,0.000748502994011976,9.66666666666667,NA,1,NA,5,"Italian",4008,"fior","flower",1,"fiori",3,5,0.000748502994011976,9.66666666666667,0,1,0
"121",265,"bagnano",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","bath",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"122",265,"bagnano",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","bathroom",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"123",265,"bagnano",1,0.000249500998003992,13,NA,NA,NA,7,"Italian",4008,"bagn","wet (description)",9,"bagnato, bagnati, bagnata, bagnare, bagnano, bagno, bagna, bagni, bagnava",19,6.33333333333333,0.00474051896207585,10.4722222222222,0,9,0
"124",266,"però",4,0.000998003992015968,9.25,NA,NA,3,4,"Italian",4008,"per","for",2,"per, però",22,3.5,0.00548902195608783,8.51388888888889,0,0,7
"125",266,"però",4,0.000998003992015968,9.25,NA,NA,3,4,"Italian",4008,"per","pear",2,"per, però",22,3.5,0.00548902195608783,8.51388888888889,0,0,7
"126",270,"porti",2,0.000499001996007984,3.5,NA,2,NA,5,"Italian",4008,"port","door",5,"porta, porti, portiamo, portato, portano",8,6.4,0.00199600798403194,7,0,2,1
"127",271,"portiamo",2,0.000499001996007984,6.5,NA,NA,1,8,"Italian",4008,"port","door",5,"porta, porti, portiamo, portato, portano",8,6.4,0.00199600798403194,7,0,2,1
"128",272,"bimbo",24,0.00598802395209581,8.83333333333333,NA,8,NA,5,"Italian",4008,"bimb","child",6,"a, bambini, bimbi, bimba, bimbo, bambino",103,5,0.0256986027944112,8.56496697746698,0,18,3
"129",276,"pesca",2,0.000499001996007984,9.5,NA,1,NA,5,"Italian",4008,"pesc","peach",2,"pesca, pescare",3,6,0.000748502994011976,8.75,0,2,0
"130",277,"questa",20,0.00499001996007984,6.05,NA,5,7,6,"Italian",4008,"quest","this",5,"a, questi, questo, queste, questa",125,5,0.031187624750499,7.21347985347986,3,12,23
"131",279,"da",6,0.00149700598802395,8,NA,NA,NA,2,"Italian",4008,"da","by",1,"da",6,2,0.00149700598802395,8,0,0,0
"132",281,"pesciolino",2,0.000499001996007984,7.5,NA,2,NA,10,"Italian",4008,"pesciolin","fish (animal)",1,"pesciolino",2,10,0.000499001996007984,7.5,0,2,0
"133",286,"pescare",1,0.000249500998003992,8,NA,1,NA,7,"Italian",4008,"pesc","peach",2,"pesca, pescare",3,6,0.000748502994011976,8.75,0,2,0
"134",290,"luce",2,0.000499001996007984,4.5,NA,1,NA,4,"Italian",4008,"luc","light (object)",1,"luce",2,4,0.000499001996007984,4.5,0,1,0
"135",291,"qua",18,0.00449101796407186,4.88888888888889,2,11,NA,3,"Italian",4008,"qua","quack quack",1,"qua",18,3,0.00449101796407186,4.88888888888889,2,11,0
"136",294,"mi",5,0.00124750499001996,7.8,NA,NA,NA,2,"Italian",4008,"mi","me",2,"me, mi",16,2,0.00399201596806387,7.85454545454546,0,3,1
"137",299,"palla",1,0.000249500998003992,6,NA,NA,NA,5,"Italian",4008,"pall","ball",1,"palla",1,5,0.000249500998003992,6,0,0,0
"138",301,"terra",1,0.000249500998003992,2,NA,1,NA,5,"Italian",4008,"terr","earth",1,"terra",1,5,0.000249500998003992,2,0,1,0
"139",303,"piano",3,0.000748502994011976,7.33333333333333,NA,1,NA,5,"Italian",4008,"pian","slow",1,"piano",3,5,0.000748502994011976,7.33333333333333,0,1,0
"140",305,"prenderla",1,0.000249500998003992,8,NA,1,NA,9,"Italian",4008,"prend","take",8,"prendi, prendiamo, prendere, prende, prenderla, prendeva, prendo, prenderlo",16,7.625,0.00399201596806387,7.47916666666667,0,3,2
"141",306,"mamma",11,0.00274451097804391,8,NA,5,NA,5,"Italian",4008,"mamm","mommy",1,"mamma",11,5,0.00274451097804391,8,0,5,0
"142",307,"stanca",1,0.000249500998003992,7,NA,NA,NA,6,"Italian",4008,"stanc","tired",1,"stanca",1,6,0.000249500998003992,7,0,0,0
