word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
train,916,916,8.68995633187773,5,406,1,5,French (Quebecois),2043005,train,train,2,"train, trains",943,5.5,943,9.233867054827755,5,417,1
aimé,57,57,8.842105263157896,NA,12,NA,4,French (Quebecois),2043005,aim,love,19,"aimes, aimé, aime, aimerais, aimerait, aimants, aimée, aimait, aimeras, aimer, aimant, aimais, aimaient, aimera, aimez, aimeraient, aimiez, aimés, aimante",1464,6.2105263157894735,1464,11.234675425629144,0,65,7
dessiner,325,325,7,6,125,3,8,French (Quebecois),2043005,dessin,draw,16,"dessins, dessiner, dessin, dessinées, dessine, dessiné, dessinés, dessines, dessinait, dessinée, dessinez, dessinais, dessinera, dessineras, dessina, dessinerai",1330,8.125,1330,7.563952829478728,9,518,22
dessin,362,362,7.6187845303867405,1,182,1,6,French (Quebecois),2043005,dessin,draw,16,"dessins, dessiner, dessin, dessinées, dessine, dessiné, dessinés, dessines, dessinait, dessinée, dessinez, dessinais, dessinera, dessineras, dessina, dessinerai",1330,8.125,1330,7.563952829478728,9,518,22
reste,759,759,7.610013175230566,NA,91,79,5,French (Quebecois),2043005,rest,stay,16,"reste, rester, resté, restée, restes, restait, resteras, resterai, restera, restais, restez, resta, restés, resteront, restaient, restées",1300,6.6875,1300,11.14136421164313,0,114,79
prendre,1285,1285,8.85603112840467,1,147,6,7,French (Quebecois),2043005,prendr,take,7,"prendre, prendra, prendrait, prendrais, prendrai, prendras, prendraient",1358,8.428571428571429,1358,9.50766431086053,1,151,6
belles,142,142,8.690140845070422,NA,15,1,6,French (Quebecois),2043005,bel,beautiful,6,"belles, belle, beau, beaux, bel, bele",1802,4.5,1802,6.3413764459203925,12,455,24
marche,1031,1031,6.594568380213385,3,261,29,6,French (Quebecois),2043005,march,walk,11,"marche, marché, marches, marcher, marchera, marchais, marchant, marchait, marcheras, marcherait, marchés",1587,7.636363636363637,1587,9.963416953854628,4,447,31
écrire,152,152,7.973684210526316,NA,39,2,6,French (Quebecois),2043005,écrir,write,3,"écrire, écrira, écriras",159,6.333333333333333,159,7.157894736842105,0,39,2
matin,721,721,10.002773925104023,NA,376,1,5,French (Quebecois),2043005,matin,morning,6,"matin, matinée, matins, matines, matiné, matinées",762,6.5,762,11.599668670057019,0,393,1
