word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
sueña,5,5,3.6,NA,3,1,5,Spanish (Mexican),1260545,sueñ,spanish_(mexican),sleepy,5,"sueño, sueña, sueños, sueñas, sueñó",221,5.4,221,5.2012820512820515,1,144,2
vacias,1,1,5,NA,1,NA,6,Spanish (Mexican),1260545,vaci,spanish_(mexican),empty,9,"vacío, vaciarlo, vacíe, vacias, vacíos, vaciar, vaciado, vacio, vacia",33,5.888888888888889,33,7.349122807017544,2,16,0
paleta,8,8,4.625,NA,6,NA,6,Spanish (Mexican),1260545,palet,spanish_(mexican),lollipop,1,paleta,8,6,8,4.625,0,6,0
jardines,3,3,7.333333333333333,NA,2,NA,8,Spanish (Mexican),1260545,jardin,spanish_(mexican),garden,3,"jardín, jardines, jardin",117,6.666666666666667,117,7.662733529990167,0,61,0
limpiarse,3,3,9.666666666666666,NA,1,NA,9,Spanish (Mexican),1260545,limpi,spanish_(mexican),clean (description),19,"limpio, limpiándole, limpiar, limpiarle, limpiando, limpiamos, limpiarlo, limpiado, limpie, limpias, limpia, limpiarse, limpies, limpiaba, limpiabas, limpiarla, limpiarlas, limpian, limpiarlos",251,8.210526315789474,251,6.943258756882274,4,100,10
amarillos,25,25,3.88,2,18,NA,9,Spanish (Mexican),1260545,amarill,spanish_(mexican),yellow,4,"amarilla, amarillo, amarillas, amarillos",821,8.5,821,4.478048780487805,115,496,33
cocinarlo,4,4,4.25,NA,3,NA,9,Spanish (Mexican),1260545,cocin,spanish_(mexican),kitchen,9,"cocina, cocinar, cocinando, cocinas, cocinarlo, cocinica, cocinan, cocinaba, cocinamos",541,7.777777777777778,541,5.931854043392505,5,264,5
prendas,4,4,6.25,NA,2,NA,7,Spanish (Mexican),1260545,prend,spanish_(mexican),turn on,7,"prendas, prende, prenderlo, prendes, prendieron, prendió, prender",10,7.571428571428571,10,10.75,0,3,0
tienda,67,67,7.343283582089552,NA,32,1,6,Spanish (Mexican),1260545,tiend,spanish_(mexican),store,6,"tiendas, mercado, tienda, merced, tiendes, merce",92,6.333333333333333,92,7.131618692253021,0,47,1
columpian,17,17,5.882352941176471,NA,11,NA,9,Spanish (Mexican),1260545,columpi,spanish_(mexican),swing (object),20,"columpios, columpio, columpiar, columpias, columpia, columpiándose, columpiando, columpiarla, columpian, columpiarse, columpiarles, columpiarlos, columpie, columpiaban, columpiarme, columpiarnos, columpien, columpies, columpiado, columpiaba",643,10.1,643,7.76670314492559,7,371,3
vacíos,5,5,11.8,NA,2,NA,6,Spanish (Mexican),1260545,vaci,spanish_(mexican),empty,9,"vacío, vaciarlo, vacíe, vacias, vacíos, vaciar, vaciado, vacio, vacia",33,5.888888888888889,33,7.349122807017544,2,16,0
columpiarse,11,11,6,NA,7,1,11,Spanish (Mexican),1260545,columpi,spanish_(mexican),swing (object),20,"columpios, columpio, columpiar, columpias, columpia, columpiándose, columpiando, columpiarla, columpian, columpiarse, columpiarles, columpiarlos, columpie, columpiaban, columpiarme, columpiarnos, columpien, columpies, columpiado, columpiaba",643,10.1,643,7.76670314492559,7,371,3
pajarico,9,9,5.777777777777778,NA,6,NA,8,Spanish (Mexican),1260545,pajar,spanish_(mexican),bird,12,"paje, pájaros, pájaro, pajaricos, paja, pajarico, pajas, pajes, pajares, pajaros, pajaro, pajar",286,6.083333333333333,286,6.206967401285583,18,176,1
sucios,14,14,5.714285714285714,1,7,NA,6,Spanish (Mexican),1260545,suci,spanish_(mexican),dirty,4,"sucias, sucio, sucia, sucios",151,5.5,151,5.991522366522366,8,81,0
pintarles,1,1,4,NA,NA,NA,9,Spanish (Mexican),1260545,pint,spanish_(mexican),paint (action),29,"pintado, pintando, pinto, pintar, pinta, pintamos, pintes, pintas, pintan, pintada, pintaba, pintemos, pinte, pínta, pintaste, pintarle, pintarlo, pintó, pintados, pintadas, pintarles, pintaran, pintéis, pintáis, pintaría, pintarla, pintarlas, pintarnos, pintarse",1317,7.137931034482759,1317,6.4263390989424884,38,533,90
dibujarle,2,2,4,NA,1,NA,9,Spanish (Mexican),1260545,dibuj,spanish_(mexican),draw,25,"dibujada, dibujado, dibujan, dibujo, dibujar, dibujaban, dibujándome, dibujos, dibuja, dibujamos, dibujas, dibujando, dibujó, dibujarle, dibujaba, dibujándole, dibujáis, dibuje, dibujarlo, dibujaste, dibujes, dibujé, dibujadas, dibujados, dibujante",913,8,913,6.905474579479863,12,383,40
bigote,16,16,5.9375,1,4,1,6,Spanish (Mexican),1260545,bigot,spanish_(mexican),mustache,2,"bigotes, bigote",32,6.5,32,5.125,1,16,1
huev,1,1,12,NA,NA,NA,4,Spanish (Mexican),1260545,huev,spanish_(mexican),egg,3,"huevo, huevos, huev",282,5,282,12,22,167,10
tortillas,22,22,6.363636363636363,NA,15,NA,9,Spanish (Mexican),1260545,tortill,spanish_(mexican),tortilla,2,"tortilla, tortillas",50,8.5,50,6.378246753246753,2,26,1
soplabas,3,3,5,NA,1,NA,8,Spanish (Mexican),1260545,sopl,spanish_(mexican),blow,20,"soplar, sopla, soplé, soplas, soplamos, soplabas, soplido, soplan, soplará, soplad, soplarla, soplaré, soplaste, sopló, soplo, soplasteis, soplaba, soples, soplando, soplaron",136,6.8,136,5.754404761904762,20,44,12
rompido,1,1,3,NA,1,NA,7,Spanish (Mexican),1260545,romp,spanish_(mexican),break,31,"romper, rompes, romperlo, rompas, romperla, rompe, rompiendo, rompió, romperse, rompa, rompan, rompéis, rompimos, romperlas, rompiera, rompen, rompido, rompí, rompiste, romperá, romperás, romperemos, romperían, romperlos, rompiéndole, rompo, romperé, rompería, rompieron, rompemos, rompía",422,7.354838709677419,422,7.236442851486025,6,206,12
hormigas,19,19,4.157894736842105,1,13,NA,8,Spanish (Mexican),1260545,hormig,spanish_(mexican),ant,2,"hormiga, hormigas",31,7.5,31,4.162280701754386,2,22,0
cierres,7,7,NA,1,1,NA,7,Spanish (Mexican),1260545,cierr,spanish_(mexican),zipper,6,"cierras, cierra, cierre, cierran, cierro, cierres",239,6.5,239,6.988888888888889,14,74,52
tin,7,7,4.571428571428571,1,4,1,3,Spanish (Mexican),1260545,tin,spanish_(mexican),bathtub,4,"tin, tino, tina, tinen",23,4,23,5.964285714285714,1,8,8
bañándose,4,4,4.25,NA,3,NA,9,Spanish (Mexican),1260545,bañ,spanish_(mexican),bathroom,28,"baño, bañar, bañarnos, bañado, bañas, bañamos, bañando, baña, bañaba, bañarle, bañarse, bañándose, bañaban, bañarlo, bañarles, bañen, baños, bañan, bañaste, bañarla, bañabas, bañasteis, bañarías, bañáis, bañabais, bañe, bañándolo, bañarme",441,6.571428571428571,441,5.788939775729354,8,247,5
mirad,17,17,9.117647058823529,NA,2,9,5,Spanish (Mexican),1260545,mir,spanish_(mexican),look,35,"mira, mirarlo, mirando, miras, miraba, mire, mirándola, miro, miró, miré, miran, miradas, mirar, mirada, mirándome, mires, mirarme, miramos, miremos, mirad, mirado, miren, mirándoles, mirá, miraremos, miraste, mir, mirarse, míra, mirábamos, miraron, mirarle, mirabas, mirarlos, mirándolo",18323,6.257142857142857,18323,6.194795825740537,5963,2738,7253
buh,1,1,7,NA,1,NA,3,Spanish (Mexican),1260545,buh,spanish_(mexican),owl,4,"búho, buh, buho, búha",12,3.75,12,4.166666666666667,0,11,0
sacaste,11,11,7.090909090909091,NA,2,1,7,Spanish (Mexican),1260545,sac,spanish_(mexican),take out,33,"saca, sacó, saco, sacar, sacando, sacas, sacamos, sacábamos, sacado, sacaba, sacara, sacase, sacándome, sacaban, sacarlo, sacarle, sacarlas, sacaste, sacarles, sacarlos, sacarla, sacan, sacáis, sace, sacadas, sacár, sacarás, sacarán, sacaron, sacarme, sacos, sacándole, sacarse",775,6.454545454545454,775,8.55911217107002,12,169,90
escribieran,1,1,2,NA,1,NA,11,Spanish (Mexican),1260545,escrib,spanish_(mexican),write,19,"escribir, escribe, escribirnos, escribiéndome, escribiendo, escribía, escribirla, escriba, escribieran, escriben, escribes, escribas, escribirlo, escribiste, escribió, escribo, escribís, escribí, escribiría",191,8.947368421052632,191,7.077851739504925,3,77,15
tirándose,4,4,6,NA,NA,1,9,Spanish (Mexican),1260545,tir,spanish_(mexican),throw,50,"tiró, tires, tiras, tirado, tira, tiro, tire, tirando, tirar, tiramos, tirada, tirarles, tiré, tiraba, tirarle, tiraron, tirándonos, tirarla, tiran, tirarlo, tirárselas, tirarse, tirarnos, tirarlas, tirándose, tiren, tirados, tirarlos, tirarán, tiraban, tirabas, tirándola, tiréis, tirarían, tiraros, tiraste, tirará, tirarme, tirarás, tiradas, tiros, aventó, aventando, aventar, aventaste, tíra, tirándole, tiraran, tirí, tirárselos",1205,6.7,1205,6.796324048095483,39,348,81
apagamos,9,9,4.222222222222222,NA,5,2,8,Spanish (Mexican),1260545,apag,spanish_(mexican),turn off,17,"apagado, apagaste, apaga, apagar, apaguen, apagada, apagas, apago, apagues, apagamos, apagan, apagarás, apagarla, apagaremos, apagó, apagaron, apagadas",132,7,132,4.808518518518518,8,51,17
cansados,19,19,9,NA,12,NA,8,Spanish (Mexican),1260545,cans,spanish_(mexican),tired,19,"cansado, canso, cansa, canses, cansada, cansó, cansando, cansamos, cansarás, cansar, cansados, cansan, cansen, canse, cansadas, cansas, cansaste, cansaron, cansé",204,6.578947368421052,204,7.268954248366013,3,100,3
estara,4,4,6.5,NA,NA,1,6,Spanish (Mexican),1260545,estar,spanish_(mexican),be,18,"estar, ser, será, estará, sería, estarían, estaría, estaríamos, estaré, seré, serían, estara, seríais, estaras, sera, seran, serías, estaréis",1730,5.944444444444445,1730,9.25128205128205,13,431,182
coman,33,33,9.303030303030303,NA,12,NA,5,Spanish (Mexican),1260545,com,spanish_(mexican),food,52,"cómo, como, comes, come, comer, comas, comeremos, comen, comiendo, comido, comía, comemos, coma, comida, comiéndose, comerlas, comió, comí, comimos, comiste, comernos, comérselas, comerse, coman, comamos, comérsela, comidas, comerlo, comíamos, comieron, coméis, comerá, comerán, comiéndolo, comerla, comían, comérselo, com, comías, comeré, comoes, comíais, comisteis, comiendose, comerme, cómase, comase, comerías, comé, comerle, cóme, cóm",14372,6.480769230769231,14372,6.301771286844454,522,1972,3799
coman,33,33,9.303030303030303,NA,12,NA,5,Spanish (Mexican),1260545,com,spanish_(mexican),how,52,"cómo, como, comes, come, comer, comas, comeremos, comen, comiendo, comido, comía, comemos, coma, comida, comiéndose, comerlas, comió, comí, comimos, comiste, comernos, comérselas, comerse, coman, comamos, comérsela, comidas, comerlo, comíamos, comieron, coméis, comerá, comerán, comiéndolo, comerla, comían, comérselo, com, comías, comeré, comoes, comíais, comisteis, comiendose, comerme, cómase, comase, comerías, comé, comerle, cóme, cóm",14372,6.480769230769231,14372,6.301771286844454,522,1972,3799
columpiarles,1,1,1,1,NA,NA,12,Spanish (Mexican),1260545,columpi,spanish_(mexican),swing (object),20,"columpios, columpio, columpiar, columpias, columpia, columpiándose, columpiando, columpiarla, columpian, columpiarse, columpiarles, columpiarlos, columpie, columpiaban, columpiarme, columpiarnos, columpien, columpies, columpiado, columpiaba",643,10.1,643,7.76670314492559,7,371,3
animalicos,16,16,8.25,NA,5,NA,10,Spanish (Mexican),1260545,animal,spanish_(mexican),animal,4,"animales, animal, animalicos, animalico",830,8.25,830,6.526014109347443,6,361,5
