word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
ništa,318,318,NA,29,61,56,5,Croatian,224755,ništ,Croatian,none,1,ništa,318,5,318,NA,29,61,56
kad,756,756,NA,14,6,195,3,Croatian,224755,kad,Croatian,bathtub,4,"kad, kada, kadu, kadi",817,3.75,817,8.971232020012508,22,16,210
slike,15,15,6.933333333333334,NA,7,2,5,Croatian,224755,slik,Croatian,picture,11,"sliku, slikama, slike, slika, slikam, slikaj, sliki, slikala, slikali, slikamo, slikovi",60,6.090909090909091,60,5.431168831168831,6,28,7
drugu,84,84,NA,1,21,7,5,Croatian,224755,drug,Croatian,another,10,"drugu, druga, druge, drugi, drugoga, drugo, drugoj, drugim, drugom, drugog",464,5.6,464,9.83382243130227,13,97,35
tamo,510,510,NA,12,147,73,4,Croatian,224755,tam,Croatian,there,3,"tamo, tam, tami",517,3.6666666666666665,517,5.5,12,148,79
mama,971,971,NA,32,153,175,4,Croatian,224755,mam,Croatian,mommy,6,"mama, mami, mamu, mamom, mame, mam",1295,4,1295,12.166666666666668,39,244,189
ići,323,323,NA,5,73,15,3,Croatian,224755,ić,Croatian,go,2,"ići, ić",427,2.5,427,NA,7,80,21
hoće,196,196,NA,16,23,28,4,Croatian,224755,hoć,Croatian,wanna,3,"hoće, hoću, hoćem",258,4.333333333333333,258,3.954385964912281,26,27,34
mami,167,167,NA,3,48,3,4,Croatian,224755,mam,Croatian,mommy,6,"mama, mami, mamu, mamom, mame, mam",1295,4,1295,12.166666666666668,39,244,189
dirati,86,86,6.22093023255814,1,59,1,6,Croatian,224755,dir,Croatian,touch,7,"dirati, dirat, dirali, dirala, dira, diraš, dirao",181,5.285714285714286,181,6.715614617940199,3,100,2
zatvorili,2,2,6.5,NA,1,NA,9,Croatian,224755,zatvori,Croatian,close,9,"zatvoriti, zatvorili, zatvorila, zatvori, zatvorio, zatvorim, zatvorit, zatvorimo, zatvoru",67,8.222222222222221,67,7.386742424242424,3,23,8
čaja,26,26,5.384615384615385,2,14,2,4,Croatian,224755,čaj,Croatian,tea,2,"čaja, čaj",62,3.5,62,5.384615384615385,4,40,2
dati,90,90,NA,2,27,1,4,Croatian,224755,dat,Croatian,give,2,"dati, dat",157,3.5,157,NA,7,32,7
pjevala,15,15,4.733333333333333,1,12,NA,7,Croatian,224755,pjeva,Croatian,sing,13,"pjevala, pjeva, pjevati, pjevamo, pjevaj, pjevam, pjevali, pjevat, pjevaju, pjevao, pjevajući, pjevale, pjevate",205,6.6923076923076925,205,4.9954793756967675,8,107,9
baku,34,34,5.823529411764706,NA,7,6,4,Croatian,224755,bak,Croatian,grandma,7,"baku, baka, bakom, bake, baki, bako, bak",365,4,365,6.1278417555086335,9,78,54
baka,239,239,6.184100418410042,6,48,48,4,Croatian,224755,bak,Croatian,grandma,7,"baku, baka, bakom, bake, baki, bako, bak",365,4,365,6.1278417555086335,9,78,54
van,177,177,NA,7,112,6,3,Croatian,224755,van,Croatian,out,2,"van, vani",320,3.5,320,6.475524475524476,10,194,12
tata,393,393,NA,16,99,75,4,Croatian,224755,tat,Croatian,daddy,5,"tata, tati, tatu, tatom, tate",487,4.2,487,8.5,20,124,80
mamu,86,86,NA,1,24,8,4,Croatian,224755,mam,Croatian,mommy,6,"mama, mami, mamu, mamom, mame, mam",1295,4,1295,12.166666666666668,39,244,189
tati,36,36,NA,2,11,1,4,Croatian,224755,tat,Croatian,daddy,5,"tata, tati, tatu, tatom, tate",487,4.2,487,8.5,20,124,80
bakom,38,38,9.631578947368421,NA,4,NA,5,Croatian,224755,bak,Croatian,grandma,7,"baku, baka, bakom, bake, baki, bako, bak",365,4,365,6.1278417555086335,9,78,54
teško,32,32,6.1875,NA,6,7,5,Croatian,224755,tešk,Croatian,heavy,4,"teško, teška, tešku, teške",43,5,43,7.046875,0,8,8
uzeti,32,32,8.09375,1,11,NA,5,Croatian,224755,uzet,Croatian,take,2,"uzeti, uzet",64,4.5,64,7.984375,1,16,2
stavi,173,173,NA,6,37,27,5,Croatian,224755,stav,Croatian,put,9,"stavi, stavila, staviti, stavili, stavit, stavio, stavim, stavimo, stavite",525,6.444444444444445,525,6.560416666666667,15,150,37
stol,49,49,6.979591836734694,NA,33,3,4,Croatian,224755,stol,Croatian,table,4,"stol, stolu, stola, stolom",95,5,95,7.315777924072854,1,54,3
vratima,10,10,6,NA,7,1,7,Croatian,224755,vrat,Croatian,door,6,"vratima, vrati, vrata, vrat, vratim, vrativši",162,5.833333333333333,162,7.473593073593073,5,68,16
stavila,65,65,NA,1,22,3,7,Croatian,224755,stavi,Croatian,put,9,"stavi, stavila, staviti, stavili, stavit, stavio, stavim, stavimo, stavite",525,6.444444444444445,525,6.560416666666667,15,150,37
hvala,168,168,NA,82,40,30,5,Croatian,224755,hva,Croatian,thank you,2,"hvala, hva",173,4,173,1.6,86,41,30
školu,45,45,NA,2,32,NA,5,Croatian,224755,škol,Croatian,school,4,"školu, školi, škola, škole",89,5,89,10.146341463414634,3,61,0
pa-pa,8,8,9.5,2,3,1,5,Croatian,224755,pa-p,Croatian,bye,1,pa-pa,8,5,8,9.5,2,3,1
mala,263,263,NA,8,79,32,4,Croatian,224755,mal,Croatian,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.76132730015083,47,540,206
tvoja,194,194,6.561855670103093,2,32,13,5,Croatian,224755,tvoj,Croatian,your,7,"tvoja, tvoj, tvoje, tvoju, tvojoj, tvoji, tvojom",456,5.142857142857143,456,7.370887617537102,16,70,30
moja,125,125,NA,2,20,7,4,Croatian,224755,moj,Croatian,my,6,"moja, moje, moj, moju, mojoj, moji",267,4,267,7.333333333333333,6,46,23
staviti,70,70,NA,1,29,NA,7,Croatian,224755,stavi,Croatian,put,9,"stavi, stavila, staviti, stavili, stavit, stavio, stavim, stavimo, stavite",525,6.444444444444445,525,6.560416666666667,15,150,37
unutra,214,214,NA,7,118,10,6,Croatian,224755,unutr,Croatian,inside,1,unutra,214,6,214,NA,7,118,10
