item_id,category,definition,gloss,uni_lemma,language
item_129,food_drink,ital,drink,,Hungarian
item_130,food_drink,jégkrém,popsicle,,Hungarian
item_131,food_drink,joghurt,yogurt,yogurt,Hungarian
item_132,food_drink,kakaó,cacao (drink),cacao,Hungarian
item_133,food_drink,kaja,food (informal),food,Hungarian
item_134,food_drink,kávé,coffee,coffee,Hungarian
item_135,food_drink,keksz,cracker,cracker,Hungarian
item_136,food_drink,kenyér,bread,bread,Hungarian
item_137,food_drink,kifli,croissant,,Hungarian
item_138,food_drink,kóla,coke,,Hungarian
item_139,food_drink,kolbász,sausage,,Hungarian
item_140,food_drink,konzerv,canned food,,Hungarian
item_141,food_drink,körte,pear,pear,Hungarian
item_142,food_drink,krumpli,potato,potato,Hungarian
item_143,food_drink,kukorica,corn,,Hungarian
item_144,food_drink,leves,soup,soup,Hungarian
item_145,food_drink,lekvár,marmalade,,Hungarian
item_146,food_drink,málna,raspberry,,Hungarian
item_147,food_drink,mandarin,mandarin,,Hungarian
item_148,food_drink,mazsola,raisin,raisin,Hungarian
item_149,food_drink,mogyoró,hazelnut,,Hungarian
item_150,food_drink,müzli,muesli,,Hungarian
item_151,food_drink,narancs,orange,,Hungarian
item_152,food_drink,nyalóka,lollipop,lollipop,Hungarian
item_153,food_drink,palacsinta,pancake,pancake,Hungarian
item_154,food_drink,paprika,paprika,,Hungarian
item_155,food_drink,paradicsom,tomato,tomato,Hungarian
item_156,food_drink,pattogatott kukorica,popcorn,,Hungarian
item_157,food_drink,perec,pretzel,pretzel,Hungarian
item_158,food_drink,pirítós,toast,toast,Hungarian
item_159,food_drink,pogi,scone,,Hungarian
item_160,food_drink,rágó,gum,,Hungarian
item_161,food_drink,rizs,rice,rice,Hungarian
item_162,food_drink,ropi,cracker stick,,Hungarian
item_163,food_drink,sajt,cheese,cheese,Hungarian
item_164,food_drink,sárgarépa,carrots,carrots,Hungarian
item_165,food_drink,só,salt,,Hungarian
item_166,food_drink,sonka,ham,ham,Hungarian
item_167,food_drink,spagetti,spaghetti,pasta,Hungarian
item_168,food_drink,sült krumpli,french fries,,Hungarian
item_169,food_drink,süti,cookie,cookie,Hungarian
item_170,food_drink,szalámi,salami,,Hungarian
item_171,food_drink,szendvizs,sandwich,sandwich,Hungarian
item_172,food_drink,szilva,plum,,Hungarian
item_173,food_drink,szóda,soda water,,Hungarian
item_174,food_drink,szósz,sauce,sauce,Hungarian
item_175,food_drink,szőlő,grapes,grapes,Hungarian
item_176,food_drink,tea,tea,tea,Hungarian
item_177,food_drink,tej,milk,milk,Hungarian
item_178,food_drink,tejberizs,milk rice,,Hungarian
item_179,food_drink,tejbegríz,milk drizzle,,Hungarian
item_180,food_drink,tészta,pasta,pasta,Hungarian
item_181,food_drink,tojás,egg,egg,Hungarian
item_182,food_drink,torta,cake,cake,Hungarian
item_183,food_drink,túró,cottage cheese,cottage cheese,Hungarian
item_184,food_drink,uborka,pickle,,Hungarian
item_185,food_drink,üdítő,soda/pop,soda,Hungarian
item_186,food_drink,vaj,butter,butter,Hungarian
item_187,food_drink,víz,water,water (beverage),Hungarian
item_188,food_drink,zsemle,buns,bun,Hungarian
item_189,clothing,bugyi,underpants,underpants,Hungarian
