"wn_pos","word_type","child_entropy","child_count","adult_entropy","adult_count"
"a","present+a",0.856995717854035,21,1.22169490763633,21
"a","pretend+a",0.792484208419194,114,1.0410374901456,114
"a","pretty+a",0.235193381819241,26,0.744194213826323,26
"a","quiet+a",0.863120568566631,7,1.37878349348618,7
"a","red+a",0.159935682292075,214,0.134029796168036,214
"a","sad+a",0.271389587508111,43,0.932348496353216,43
"a","same+a",1.68258758896885,105,1.98045634480289,105
"a","short+a",1.04085208297276,12,0.413816850303634,12
"a","sick+a",1.15169469697658,85,1.21090147626357,85
"a","sleepy+a",0.379524377862681,95,0.545977614869714,95
"a","slow+a",0,2,0,2
"a","soft+a",1.24194603220605,15,2.09892956369094,15
"a","thirsty+a",0,11,0.684038435639042,11
"a","tiny+a",0.10215803640865,75,0.10215803640865,75
"a","wet+a",0.391243563629256,26,0.235193381819241,26
"a","white+a",0.380943402214992,164,0.349761555565192,164
"a","windy+a",0.986426728730843,27,0,27
"a","yellow+a",0.127418511792359,57,0,57
"a","yucky+a",0.371232326640876,28,0,28
"n","airplane+n",0,34,0,34
"n","alligator+n",0,16,0.668564443199596,16
"n","animal+n",0.189278431261202,207,0.321745023250664,207
"n","ankle+n",0,7,0,7
"n","ant+n",0,68,0,68
"n","apple+n",0.211334267396532,329,0.0832648123998881,329
"n","arm+n",0.747915404978015,109,0.879443952872996,109
"n","aunt+n",0,1,0,1
"n","baby+n",1.60943830095137,438,1.94292478047324,438
"n","back+n",2.53184421500351,65,2.33360620425753,65
"n","ball+n",1.47421936758248,405,1.45349612165842,405
"n","balloon+n",0.949065149881139,106,0.995887311459091,106
"n","banana+n",0.0358106343161022,265,0.170742938185451,265
"n","basket+n",0.218263938507578,69,0.189278431261202,69
"n","bath+n",1.2440315540064,158,1.44095995195244,158
"n","bat+n",1.34285112859848,50,1.22296619546752,50
"n","beach+n",0,66,0.195909270873605,66
"n","bead+n",0,10,0,10
"n","bean+n",1.10668391154664,92,0.932074275465332,92
"n","bear+n",0.384008009589913,425,0.28987608825227,425
"n","bed+n",0.084262428776233,285,0.285311292109135,285
"n","bee+n",0.365055189640285,86,0.218321030237467,86
"n","behind+n",0,2,1,2
"n","belt+n",0,3,0,3
"n","bench+n",0,16,0.337290066617014,16
"n","bib+n",0.765179911757205,46,0.558629373452199,46
"n","bicycle+n",0.402179190202273,25,0.242292189082415,25
"n","bird+n",0.141711907157671,281,0.0610104981556473,281
"n","bite+n",2.53247702607513,31,2.13913257507835,31
"n","black+n",1.22710672170509,172,1.62129993275452,172
"n","blanket+n",0.0758415063771471,108,0.133039648610699,108
"n","block+n",1.10696996998044,143,1.08262844996525,143
"n","blow+n",1.16399045755142,25,1.02631371386483,25
"n","blue+n",1.13642292604068,172,1.07271161545528,172
"n","boat+n",0.113274303497097,198,0.158962787319679,198
"n","book+n",0.906124593508059,439,0.950333531135321,439
"n","boot+n",0.266764987803026,22,0.574635697837679,22
"n","bottle+n",0.736497779550567,135,1.14244276169332,135
"n","bowl+n",1.20812999118062,108,1.12544915880894,108
"n","box+n",0.263446526230232,268,0.270909212797396,268
"n","boy+n",0.382659134149522,165,1.05410461878361,165
"n","bread+n",0,79,0.0979405827181741,79
"n","breakfast+n",0.148549490430348,47,0,47
"n","broom+n",0.696212260125146,16,0.337290066617014,16
"n","brother+n",0,24,0,24
"n","bubble+n",0.734993331616283,82,1.06745546645505,82
"n","bucket+n",0.94055734109325,93,0.340986956913599,93
"n","bug+n",0.985856596974705,53,1.32953738843355,53
"n","bump+n",1.56392511118247,81,1.66186311997843,81
"n","bunny+n",0.134029796168036,107,0.416505400080855,107
"n","bus+n",0.0874940593423167,209,0.0437636231174992,209
"n","butter+n",0.163860512869158,83,0.65499214078274,83
"n","butt+n",0,1,0,1
"n","button+n",1.7211372514823,95,1.9332642922885,95
"n","buy+n",0.402179190202273,50,1.25975646873101,50
"n","cake+n",0,232,0.213107964833778,232
"n","camera+n",0.450791388354665,53,0.135036202802128,53
"n","candy+n",0.322756958897398,17,0,17
"n","can+n",1.58023160509636,46,1.39028872735553,46
"n","car+n",0.309170678209936,410,0.272463743393425,410
